x y z
0.03897436 0.12666667 3.04075114
0.16564103 0.10230769 4.17342109
0.11205128 0.00487179 15.88524279
0.00000000 0.00487179 -nan
0.02435897 0.15102564 3.07940932
0.06820513 0.07794872 3.44434858
0.08282051 0.05358974 4.34935425
0.12179487 0.17538462 3.46580203
0.15102564 0.12666667 3.85388495
0.05358974 0.10230769 3.09125010
0.09743590 0.02923077 6.21606027
0.13641026 0.15102564 3.62435074
0.00974359 0.17538462 3.12848651
0.18025641 0.07794872 4.62955053
0.08282051 0.05846154 4.17407964
0.12179487 0.18025641 3.45623808
0.03897436 0.13153846 3.05264570
0.00000000 0.00974359 -nan
0.11205128 0.00974359 11.14090139
0.02435897 0.15589744 3.09110557
0.16564103 0.10717949 4.11719163
0.13641026 0.15589744 3.60431276
0.06820513 0.08282051 3.38776122
0.09743590 0.03410256 5.74651178
0.00974359 0.18025641 3.13835252
0.05358974 0.10717949 3.08987116
0.15102564 0.13153846 3.81909162
0.18025641 0.08282051 4.53723251
0.08282051 0.06333333 4.02681306
0.02435897 0.16076923 3.10232894
0.03897436 0.13641026 3.06424866
0.12179487 0.18512821 3.44774001
0.06820513 0.08769231 3.34228776
0.11205128 0.01461538 9.05348623
0.00000000 0.01461538 -nan
0.16564103 0.11205128 4.06586740
0.13641026 0.16076923 3.58612334
0.00974359 0.18512821 3.14785536
0.09743590 0.03897436 5.37390215
0.15102564 0.13641026 3.78727983
0.05358974 0.11205128 3.09073428
0.18025641 0.08769231 4.45416106
0.02435897 0.16564103 3.11311022
0.11205128 0.01948718 7.82315436
0.08282051 0.06820513 3.90272762
0.03897436 0.14128205 3.07554140
0.12179487 0.19000000 3.44020591
0.09743590 0.04384615 5.07077780
0.06820513 0.09256410 3.30591492
0.18025641 0.09256410 4.37907286
0.00000000 0.01948718 -nan
0.16564103 0.11692308 4.01892755
0.13641026 0.16564103 3.56961360
0.00974359 0.19000000 3.15701704
0.02435897 0.17051282 3.12347749
0.15102564 0.14128205 3.75817249
0.05358974 0.11692308 3.09331431
0.12179487 0.19487179 3.43354421
0.03897436 0.14615385 3.08651461
0.08282051 0.07307692 3.79800178
0.11205128 0.02435897 6.99435975
0.09743590 0.04871795 4.81965794
0.06820513 0.09743590 3.27699778
0.00000000 0.02435897 -nan
0.00974359 0.19487179 3.16585773
0.18025641 0.09743590 4.31093524
0.16564103 0.12179487 3.97592382
0.02435897 0.17538462 3.13345641
0.13641026 0.17051282 3.55463160
0.15102564 0.14615385 3.73152301
0.05358974 0.12179487 3.09720383
0.08282051 0.07794872 3.70954312
0.12666667 0.00487179 15.95754237
0.03897436 0.15102564 3.09716560
0.11205128 0.02923077 6.39099179
0.00000000 0.02923077 -nan
0.09743590 0.05358974 4.60881521
0.01461538 0.00487179 11.29223103
0.15102564 0.15102564 3.70711108
0.06820513 0.10230769 3.25419272
0.02435897 0.18025641 3.14307052
0.16564103 0.12666667 3.93646747
0.18025641 0.10230769 4.24889461
0.08282051 0.08282051 3.63480950
0.13641026 0.17538462 3.54104038
0.05358974 0.12666667 3.10208585
0.12666667 0.00974359 11.23389353
0.01461538 0.00974359 5.19534383
0.09743590 0.05846154 4.43003220
0.03897436 0.15589744 3.10749631
0.11205128 0.03410256 5.92884676
0.00000000 0.03410256 -nan
0.15102564 0.15589744 3.68473926
0.08282051 0.08769231 3.57168840
0.02435897 0.18512821 3.15234141
0.18025641 0.10717949 4.19223818
0.06820513 0.10717949 3.23640224
0.16564103 0.13153846 3.90021900
0.13641026 0.18025641 3.52871636
0.05358974 0.13153846 3.10771303
0.09743590 0.06333333 4.27732949
0.08282051 0.09256410 3.51841161
0.15102564 0.16076923 3.66423007
0.01461538 0.01461538 2.92118012
0.12666667 0.01461538 9.16037845
0.03897436 0.16076923 3.11751190
0.00000000 0.03897436 -nan
0.11205128 0.03897436 5.56202502
0.02435897 0.19000000 3.16128893
0.18025641 0.11205128 4.14036503
0.06820513 0.11205128 3.22272946
0.16564103 0.13641026 3.86688010
0.13641026 0.18512821 3.51754788
0.08282051 0.09743590 3.47349225
0.09743590 0.06820513 4.14620903
0.05358974 0.13641026 3.11389191
0.03897436 0.16564103 3.12721971
0.00000000 0.04384615 -nan
0.01461538 0.01948718 2.27569709
0.12666667 0.01948718 7.94062681
0.15102564 0.16564103 3.64542358
0.11205128 0.04384615 5.26315808
0.02435897 0.19487179 3.16993136
0.18025641 0.11692308 4.09276412
0.06820513 0.11692308 3.21244085
0.16564103 0.14128205 3.83618714
0.08282051 0.10230769 3.43567632
0.05358974 0.14128205 3.12047087
0.13641026 0.19000000 3.50743390
0.00000000 0.04871795 -nan
0.09743590 0.07307692 4.03318684
0.15102564 0.17051282 3.62817536
0.01461538 0.02435897 2.19633331
0.03897436 0.17051282 3.13662854
0.02923077 0.00487179 14.02583396
0.12666667 0.02435897 7.12032741
0.11205128 0.04871795 5.01481927
0.16564103 0.14615385 3.80790595
0.18025641 0.12179487 4.04899724
0.06820513 0.12179487 3.20493581
0.08282051 0.10717949 3.40390417
0.00000000 0.05358974 -nan
0.09743590 0.07794872 3.93549589
0.01461538 0.02923077 2.25323502
0.05358974 0.14615385 3.12733089
0.13641026 0.19487179 3.49828296
0.15102564 0.17538462 3.61235470
0.02923077 0.00974359 8.68723627
0.03897436 0.17538462 3.14574807
0.16564103 0.15102564 3.78182764
0.12666667 0.02923077 6.52394529
0.11205128 0.05358974 4.80533570
0.00000000 0.05846154 -nan
0.18025641 0.12666667 4.00868579
0.06820513 0.12666667 3.19972182
0.08282051 0.11205128 3.37727919
0.05358974 0.15102564 3.13437848
0.16564103 0.15589744 3.75776506
0.09743590 0.08282051 3.85089196
0.15102564 0.18025641 3.59784314
0.01461538 0.03410256 2.33330375
0.14128205 0.00487179 16.01468490
0.02923077 0.01461538 6.21618055
0.03897436 0.18025641 3.15458848
0.00000000 0.06333333 -nan
0.12666667 0.03410256 6.06757788
0.11205128 0.05846154 4.62656195
0.18025641 0.13153846 3.97150037
0.16564103 0.16076923 3.73555002
0.06820513 0.13153846 3.19639434
0.05358974 0.15589744 3.14154016
0.15102564 0.18512821 3.58453312
0.08282051 0.11692308 3.35504194
0.01461538 0.03897436 2.41046868
0.09743590 0.08769231 3.77752380
0.14128205 0.00974359 11.30721793
0.00000000 0.06820513 -nan
0.02923077 0.01948718 4.77037529
0.18025641 0.13641026 3.93715252
0.03897436 0.18512821 3.16316019
0.11205128 0.06333333 4.47261495
0.12666667 0.03897436 5.70549058
0.16564103 0.16564103 3.71503082
0.15102564 0.19000000 3.57232684
0.05358974 0.16076923 3.14875823
0.06820513 0.13641026 3.19462048
0.08282051 0.12179487 3.33654857
0.00000000 0.07307692 -nan
0.01461538 0.04384615 2.47952832
0.09743590 0.09256410 3.71384383
0.14128205 0.01461538 9.24450934
0.18025641 0.14128205 3.90538815
0.02923077 0.02435897 3.88476207
0.12666667 0.04384615 5.41040692
0.11205128 0.06820513 4.33911647
0.03897436 0.19000000 3.17147362
0.15102564 0.19487179 3.56113529
0.16564103 0.17051282 3.69607032
0.05358974 0.16564103 3.15598748
0.01461538 0.04871795 2.54036909
0.06820513 0.14128205 3.19412578
0.18025641 0.14615385 3.87598220
0.08282051 0.12666667 3.32125271
0.00000000 0.07794872 -nan
0.09743590 0.09743590 3.65854502
0.14128205 0.01948718 8.03295705
0.16564103 0.17538462 3.67854418
0.02923077 0.02923077 3.35483407
0.12666667 0.04871795 5.16495359
0.01461538 0.05358974 2.59402026
0.11205128 0.07307692 4.22272041
0.03897436 0.19487179 3.17953906
0.15589744 0.00487179 16.06098350
0.09743590 0.10230769 3.61051507
0.05358974 0.17051282 3.16319256
0.18025641 0.15102564 3.84873436
0.06820513 0.14615385 3.19468350
0.08282051 0.13153846 3.30869026
0.16564103 0.18025641 3.66233948
0.00000000 0.08282051 -nan
0.02923077 0.03410256 3.05236476
0.14128205 0.02435897 7.21924328
0.12666667 0.05358974 4.95749357
0.08282051 0.13641026 3.29846657
0.01461538 0.05846154 2.64162297
0.11205128 0.07794872 4.12080800
0.16564103 0.18512821 3.64735341
0.04384615 0.00487179 14.88386953
0.09743590 0.10717949 3.56880191
0.15589744 0.00974359 11.36651401
0.06820513 0.15102564 3.19610597
0.05358974 0.17538462 3.17034599
0.18025641 0.15589744 3.82346557
0.14128205 0.02923077 6.62830572
0.00000000 0.08769231 -nan
0.02923077 0.03897436 2.88907860
0.08282051 0.14128205 3.29024565
0.09743590 0.11205128 3.53258722
0.16564103 0.19000000 3.63349223
0.12666667 0.05846154 4.77991339
0.01461538 0.06333333 2.68417696
0.11205128 0.08282051 4.03128597
0.04384615 0.00974359 9.83096515
0.06820513 0.15589744 3.19823756
0.15589744 0.01461538 9.31244199
0.05358974 0.18025641 3.17742654
0.02923077 0.04384615 2.80732331
0.18025641 0.16076923 3.80001506
0.14128205 0.03410256 6.17649833
0.00000000 0.09256410 -nan
0.09743590 0.11692308 3.50116539
0.12666667 0.06333333 4.62636631
0.08282051 0.14615385 3.28374108
0.11205128 0.08769231 3.95244984
0.06820513 0.16076923 3.20094897
0.01461538 0.06820513 2.72250303
0.16564103 0.19487179 3.62067033
0.04384615 0.01461538 7.53244848
0.15589744 0.01948718 8.10742200
0.05358974 0.18512821 3.18441795
0.14128205 0.03897436 5.81823517
0.02923077 0.04871795 2.77206459
0.12666667 0.06820513 4.49251908
0.09743590 0.12179487 3.47392652
0.18025641 0.16564103 3.77823802
0.11205128 0.09256410 3.88288946
0.00000000 0.09743590 -nan
0.08282051 0.15102564 3.27870839
0.06820513 0.16564103 3.20413258
0.09743590 0.12666667 3.45034244
0.01461538 0.07307692 2.75726242
0.17051282 0.00487179 16.09925689
0.04384615 0.01948718 6.14920384
0.05358974 0.19000000 3.19130798
0.15589744 0.02435897 7.29895005
0.14128205 0.04384615 5.52632861
0.11205128 0.09743590 3.82142238
0.12666667 0.07307692 4.37508039
0.02923077 0.05358974 2.76297692
0.18025641 0.17051282 3.75800356
0.00000000 0.10230769 -nan
0.09743590 0.13153846 3.42995505
0.08282051 0.15589744 3.27493863
0.05358974 0.19487179 3.19808753
0.15589744 0.02923077 6.71235530
0.06820513 0.17051282 3.20769868
0.01461538 0.07794872 2.78898676
0.17051282 0.00974359 11.41545426
0.04384615 0.02435897 5.21693834
0.12666667 0.07794872 4.27149512
0.11205128 0.10230769 3.76704602
0.14128205 0.04871795 5.28345946
0.02923077 0.05846154 2.76848799
0.18025641 0.17538462 3.73919302
0.15589744 0.03410256 6.26420844
0.08282051 0.16076923 3.27225294
0.00000000 0.10717949 -nan
0.09743590 0.13641026 3.41236645
0.05846154 0.00487179 15.30107377
0.11205128 0.10717949 3.71890259
0.01461538 0.08282051 2.81810557
0.06820513 0.17538462 3.21157242
0.17051282 0.01461538 9.36843981
0.12666667 0.08282051 4.17974023
0.04384615 0.02923077 4.55721199
0.15589744 0.03897436 5.90905314
0.14128205 0.05358974 5.07802491
0.09743590 0.14128205 3.39723063
0.02923077 0.06333333 2.78201700
0.18025641 0.18025641 3.72169856
0.08282051 0.16564103 3.27049799
0.00000000 0.11205128 -nan
0.05846154 0.00974359 10.38124086
0.11205128 0.11205128 3.67625282
0.17051282 0.01948718 8.16874219
0.12666667 0.08769231 4.09818520
0.01461538 0.08769231 2.84496855
0.15589744 0.04384615 5.61978257
0.06820513 0.18025641 3.21569121
0.09743590 0.14615385 3.38424634
0.04384615 0.03410256 4.08260512
0.14128205 0.05846154 4.90193546
0.02923077 0.06820513 2.79979539
0.18025641 0.18512821 3.70542193
0.05846154 0.01461538 8.17359943
0.08282051 0.17051282 3.26954218
0.11205128 0.11692308 3.63845584
0.00000000 0.11692308 -nan
0.17051282 0.02435897 7.36453510
0.12666667 0.09256410 4.02549474
0.09743590 0.15102564 3.37315097
0.15589744 0.04871795 5.37912910
0.01461538 0.09256410 2.86986300
0.06820513 0.18512821 3.22000269
0.04384615 0.03897436 3.74121696
0.14128205 0.06333333 4.74936458
0.05846154 0.01948718 6.85244612
0.12666667 0.09743590 3.96055960
0.02923077 0.07307692 2.81964638
0.18025641 0.19000000 3.69027343
0.09743590 0.15589744 3.36371540
0.08282051 0.17538462 3.26927237
0.11205128 0.12179487 3.60495354
0.04384615 0.04384615 3.49760612
0.00000000 0.12179487 -nan
0.17051282 0.02923077 6.78147570
0.01461538 0.09743590 2.89302703
0.15589744 0.05358974 5.17552342
0.06820513 0.19000000 3.22446304
0.12666667 0.10230769 3.90244675
0.14128205 0.06820513 4.61599967
0.04384615 0.04871795 3.32573476
0.08282051 0.18025641 3.26959115
0.05846154 0.02435897 5.95444439
0.02923077 0.07794872 2.84030532
0.18025641 0.19487179 3.67617101
0.01461538 0.10230769 2.91465977
0.11205128 0.12666667 3.57525808
0.09743590 0.16076923 3.35573942
0.17051282 0.03410256 6.33631838
0.00000000 0.12666667 -nan
0.15589744 0.05846154 5.00089852
0.06820513 0.19487179 3.22903554
0.12666667 0.10717949 3.85036278
0.14128205 0.07307692 4.49857308
0.08282051 0.18512821 3.27041456
0.04384615 0.05358974 3.20607658
0.02923077 0.08282051 2.86103789
0.09743590 0.16564103 3.34904794
0.11205128 0.13153846 3.54894174
0.05846154 0.02923077 5.30091229
0.15589744 0.06333333 4.84944413
0.18512821 0.00487179 16.13142492
0.01461538 0.10717949 2.93492910
0.00000000 0.13153846 -nan
0.17051282 0.03897436 5.98371867
0.07307692 0.00487179 15.54746107
0.11205128 0.13641026 3.52562864
