x,y
0.00000000,1.00000000
0.00400000,1.00000000
0.00800000,1.00000000
0.01200000,1.00000000
0.01600000,1.00000000
0.02000000,1.00000000
0.02400000,1.00000000
0.02800000,1.00000000
0.03200000,1.00000000
0.03600000,1.00000000
0.04000000,1.00000000
0.04400000,1.00000000
0.04800000,1.00000000
0.05200000,1.00000000
0.05600000,1.00000000
0.06000000,1.00000000
0.06400000,1.00000000
0.06800000,1.00000000
0.07200000,1.00000000
0.07600000,1.00000000
0.08000000,1.00000000
0.08400000,1.00000000
0.08800000,1.00000000
0.09200000,1.00000000
0.09600000,1.00000000
0.10000000,1.00000000
0.10400000,1.00000000
0.10800000,1.00000000
0.11200000,1.00000000
0.11600000,1.00000000
0.12000000,1.00000000
0.12400000,1.00000000
0.12800000,1.00000000
0.13200000,1.00000000
0.13600000,1.00000000
0.14000000,1.00000000
0.14400000,1.00000000
0.14800000,1.00000000
0.15200000,1.00000000
0.15600000,1.00000000
0.16000000,1.00000000
0.16400000,1.00000000
0.16800000,1.00000000
0.17200000,1.00000000
0.17600000,1.00000000
0.18000000,1.00000000
0.18400000,1.00000000
0.18800000,1.00000000
0.19200000,1.00000000
0.19600000,1.00000000
0.20000000,1.00000000
0.20400000,1.00000000
0.20800000,1.00000000
0.21200000,1.00000000
0.21600000,1.00000000
0.22000000,1.00000000
0.22400000,1.00000000
0.22800000,1.00000000
0.23200000,1.00000000
0.23600000,1.00000000
0.24000000,1.00000000
0.24400000,1.00000000
0.24800000,1.00000000
0.25200000,1.00000000
0.25600000,1.00000000
0.26000000,1.00000000
0.26400000,1.00000000
0.26800000,1.00000000
0.27200000,1.00000000
0.27600000,1.00000000
0.28000000,1.00000000
0.28400000,1.00000000
0.28800000,1.00000000
0.29200000,1.00000000
0.29600000,1.00000000
0.30000000,1.00000000
0.30400000,1.00000000
0.30800000,1.00000000
0.31200000,1.00000000
0.31600000,1.00000000
0.32000000,1.00000000
0.32400000,1.00000000
0.32800000,1.00000000
0.33200000,1.00000000
0.33600000,1.00000000
0.34000000,1.00000000
0.34400000,1.00000000
0.34800000,1.00000000
0.35200000,1.00000000
0.35600000,1.00000000
0.36000000,1.00000000
0.36400000,1.00000000
0.36800000,1.00000000
0.37200000,1.00000000
0.37600000,1.00000000
0.38000000,1.00000000
0.38400000,1.00000000
0.38800000,1.00000000
0.39200000,1.00000000
0.39600000,1.00000000
